2/24/2022,Russia,Conflict,0.9,0.8,Russia invades Ukraine
3/8/2022,MiddleEast,Conflict,0.8,0.7,Oil prices surge due to Middle East tensions
8/2/2022,China,TradeWar,0.7,-0.6,New semiconductor export restrictions to China
9/15/2022,Global,Treaty,0.5,-0.4,New global climate agreement signed
11/10/2022,USA,Conflict,0.4,0.5,US increases military presence in Pacific
1/20/2023,Global,Conflict,0.6,0.6,Global supply chain disruptions due to geopolitical tensions
3/5/2023,Russia,TradeWar,0.8,-0.7,New sanctions against Russia's energy sector
5/12/2023,China,Treaty,0.7,0.6,China signs new trade deal with Southeast Asia
7/1/2023,MiddleEast,Conflict,0.9,0.8,Tensions rise in the Strait of Hormuz
9/18/2023,USA,Treaty,0.6,-0.5,New technology sharing agreement with allies
